task_name,measurement,processed_task_name,cluster,general_name,work_name_corr
Монтаж ТТ Д 219-325,м,монтаж тт д,70,тт монтаж эхз конструкций коробок, Монтаж ты я 219-325
Монтаж трубопровода системы вентиляции,м,монтаж трубопровода системы вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Монтаж трубопровода системы вентиляции
Присыпка трубопровода Д 377-630 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям, Присыпка трубопровода я 377-630 привозным грунтом
Монтаж ЗРА наружных ИС Д мм 720-1020,шт,монтаж зра наружных ис д мм,65,зра наружных ис монтаж мм, Монтаж за наружных и я мы 720-1020
Демонтаж контрольно-измерительного пункта (КИП),шт,демонтаж контрольноизмерительного пункта кип,211,контрольноизмерительного пункта кип установка демонтаж, Демонтаж контрольно-измерительного пункта (КИП)
Демонтаж соединительных коробок,шт,демонтаж соединительных коробок,228,коробок соединительных демонтаж монтаж эхз, Демонтаж соединительных коробок
Монтаж ТТ Д 57-89 на эстакадах высотой свыше 25 м,м,монтаж тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, Монтаж ты я 57-89 на эстакадах высотой свыше 25 я
Очистка внутренней полости трубопроводов водой Д мм <57,км,очистка внутренней полости трубопроводов водой д мм,10,водой очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов водой я мы <57
Демонтаж оборудования массой до 27 тн,шт,демонтаж оборудования массой тн,276,тн оборудования массой демонтаж монтаж, Демонтаж оборудование массой до 27 ты
Монтаж ТТ Д 377-630 на эстакадах высотой свыше 25 м,м,монтаж тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, Монтаж ты я 377-630 на эстакадах высотой свыше 25 я
Сборка и сварка на ТСБ двухтрубных секций Д мм 377-630,стык,сборка сварка тсб двухтрубных секций д мм,97,двухтрубных секций тсб сборка сварка, уборка и свалка на ТСБ двухтрубных секция я мы 377-630
Демонтаж металлорукава,м,демонтаж металлорукава,254,водоотлив лесовосстановление металлорукава посев обоями, Демонтаж металлорукава
Устройство покрытия из щебня,м3,устройство покрытия щебня,137,щебня покрытия устройство эхз конструкций, Устройство покрытия из щебня
Контроль качества изоляционного покрытия трубопроводов Д мм 720-1020,м2,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 720-1020
"""Демонтаж матрацев """"Рено""""""",м2,демонтаж матрацев рено,206,рено матрацев укладка демонтаж эхз," ""Демонтаж матрацев """"Рено"""""""
Укладка контейнеров противоэрозионных с заполнением,м3,укладка контейнеров противоэрозионных заполнением,204,противоэрозионных контейнеров заполнением укладка демонтаж, Укладка контейнеров противоэрозионных я заполнением
Монтаж инвентарной опалубки,м2,монтаж инвентарной опалубки,233,опалубки инвентарной мелкощитовой деревянной монтаж, Монтаж инвентарной опалубки
Монтаж железобетонных перекрытий лотков,м3,монтаж железобетонных перекрытий лотков,120,лотков железобетонных монтаж перекрытий водоотводных, Монтаж железобетонных перекрытий лотков
Изготовление гнутых отводов трубопроводов Д мм 1220-1420,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм, Изготовление гнутых отводов трубопроводов я мы 1220-1420
Транспортировка МТР и Оборудования,т,транспортировка мтр оборудования,174,мтр транспортировка оборудования линейных конструкции, Транспортировка мир и оборудование
Установка свечи вытяжной к кожуху Д мм 108 - 168,шт,установка свечи вытяжной кожуху д мм,104,свечи вытяжной кожуху мм установка, Установка свечи вытяжной я кожуху я мы 108 - 168
Монтаж ЗРА внутренних ИС Д мм 219-325,шт,монтаж зра внутренних ис д мм,64,внутренних зра ис монтаж мм, Монтаж за внутренних и я мы 219-325
Устройство емкости канализационных стоков,шт,устройство емкости канализационных стоков,161,канализационных емкости стоков устройство демонтаж, Устройство емкости канализационных стоков
Магнитопорошковый контроль стыков Д мм 1220-1420,стык,магнитопорошковый контроль стыков д мм,24,магнитопорошковый контроль стыков мм эхз, Магнитопорошковый контроль стыков я мы 1220-1420
Монтаж оборудования сетей АТ,шт,монтаж оборудования сетей ат,277,оборудования сетей демонтаж монтаж оэ, Монтаж оборудование детей а
Контроль качества изоляционного покрытия трубопроводов Д мм 377-630,км,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 377-630
Монтаж железобетонных опор ВЛ/КЛС,шт,монтаж железобетонных опор влклс,112,влклс опор деревянных железобетонных отдельно, Монтаж железобетонных пор ВЛ/КЛС
Ручная сварка стального трубопровода наружных ИС Д мм 720-1020,стык,ручная сварка стального трубопровода наружных ис д мм,62,стального ручная наружных трубопровода ис, Ручная свалка стального трубопровода наружных и я мы 720-1020
Демонтаж: конструкции монолитные железобетонные,м3,демонтаж конструкции монолитные железобетонные,172,конструкции монолитные бетонные железобетонные разборка, Демонтаж: конструкции монолитные железобетонные
Кладка стен из кирпича,м3,кладка стен кирпича,126,кладка кирпича стен пеноблоков пазогребневых, кларка стен из кирпич
Контроль качества изоляционного покрытия трубопроводов Д мм 57-89,м2,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 57-89
"Монтаж приборов, устройств и электроустановочных изделий системы ЭХЗ",шт,монтаж приборов устройств электроустановочных изделий системы эхз,275,изделий электроустановочных устройств приборов сетей," Монтаж приборов, устройство и электроустановочных изделий системы эх"
Раскладка труб на трассе Д мм 720-1020,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции, Раскладка труп на трассе я мы 720-1020
Монтаж ограждения из железобетонных панелей,шт,монтаж ограждения железобетонных панелей,105,панелей стеновых ограждения железобетонных демонтаж, Монтаж ограждения из железобетонных панелей
Предварительное пневматическое испытание трубопроводов Д мм 377-630,км,предварительное пневматическое испытание трубопроводов д мм,4,предварительное пневматическое испытание трубопроводов мм, Предварительное пневматическое испытание трубопроводов я мы 377-630
Монтаж защитного заземления зданий и сооружений с горизонтальным заземлителем,м,монтаж защитного заземления зданий сооружений горизонтальным заземлителем,129,заземления защитного зданий сооружений заземлителем, Монтаж защитного заземления здание и сооружений я горизонтальным заземлителем
Огнезащита элементов металлоконструкций каркаса здания,м2,огнезащита элементов металлоконструкций каркаса здания,256,металлоконструкций деформационных марок монтаж швов, Огнезащита элементов металлоконструкций каркаса здания
Ремонт сварных стыков Д мм 108-168,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз, Ремонт сварных стыков я мы 108-168
Монтаж сборного полимерного трубопровода наружных ИС Д мм 219-325,м,монтаж сборного полимерного трубопровода наружных ис д мм,66,сборного полимерного трубопровода ис монтаж, Монтаж сборного полимерного трубопровода наружных и я мы 219-325
Контроль качества изоляционного покрытия трубопроводов Д мм <57,м2,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы <57
Демонтаж вставки электроизолирующей на трубопроводе Д мм 377-630,шт,демонтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж, Демонтаж ставки электроизолирующей на трубопроводе я мы 377-630
Прокладка кабель-канала,м,прокладка кабельканала,258,кабельканала пластикового прокладка демонтаж эхз, Прокладка кабель-канала
Предварительное гидравлическое испытание трубопроводов Д мм 1220-1420,км,предварительное гидравлическое испытание трубопроводов д мм,1,предварительное гидравлическое испытание трубопроводов мм, Предварительное гидравлическое испытание трубопроводов я мы 1220-1420
Устройство звеньев понтона,шт,устройство звеньев понтона,219,понтона звеньев створ перехода устройство, Устройство звеньев понтона
Предварительное гидравлическое испытание трубопроводов Д мм 108-168,км,предварительное гидравлическое испытание трубопроводов д мм,1,предварительное гидравлическое испытание трубопроводов мм, Предварительное гидравлическое испытание трубопроводов я мы 108-168
Демонтаж звеньев понтона,шт,демонтаж звеньев понтона,219,понтона звеньев створ перехода устройство, Демонтаж звеньев понтона
Демонтаж временного вдольтрассового проезда лежневого типа,км,демонтаж временного вдольтрассового проезда лежневого типа,181,проезда временного вдольтрассового лежневого содержание, Демонтаж временного вдольтрассового поезда лежневого типа
Демонтаж оборудования массой до 3 тн,шт,демонтаж оборудования массой тн,276,тн оборудования массой демонтаж монтаж, Демонтаж оборудование массой до 3 ты
Монтаж оборудования системы ЭХЗ,шт,монтаж оборудования системы эхз,90,эхз оборудования системы демонтаж монтаж, Монтаж оборудование системы эх
Демонтаж футеровки из футеровочных реек трубопроводов Д мм 1220-1420,км,демонтаж футеровки футеровочных реек трубопроводов д мм,52,реек футеровки футеровочных демонтаж трубопроводов, Демонтаж футеровки из футеровочных реке трубопроводов я мы 1220-1420
Гидравлическое испытание трубопроводов Д мм 377-630,км,гидравлическое испытание трубопроводов д мм,2,гидравлическое испытание трубопроводов мм коробчатых, Гидравлическое испытание трубопроводов я мы 377-630
Капиллярный контроль стыков трубопроводов Д мм 1220-1420,стык,капиллярный контроль стыков трубопроводов д мм,23,капиллярный контроль стыков трубопроводов мм, Капиллярный контроль стыков трубопроводов я мы 1220-1420
Очистка внутренней полости трубопроводов водой Д мм 219-325,км,очистка внутренней полости трубопроводов водой д мм,10,водой очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов водой я мы 219-325
Термическая обработка сварных соединений Д мм 377-630,стык,термическая обработка сварных соединений д мм,11,термическая обработка соединений сварных мм, Термическая обработка сварных соединение я мы 377-630
Пневматическое испытание трубопроводов инженерных сетей Д мм 57-89,км,пневматическое испытание трубопроводов инженерных сетей д мм,6,пневматическое инженерных испытание сетей трубопроводов, Пневматическое испытание трубопроводов инженерный детей я мы 57-89
Прокладка саморегулирующейся электрической нагревательной ленты,м,прокладка саморегулирующейся электрической нагревательной ленты,254,водоотлив лесовосстановление металлорукава посев обоями, Прокладка саморегулирующейся электрический нагревательной лента
Гидравлическое испытание трубопроводов Д мм 720-1020,км,гидравлическое испытание трубопроводов д мм,2,гидравлическое испытание трубопроводов мм коробчатых, Гидравлическое испытание трубопроводов я мы 720-1020
Полив водой уплотняемого грунта,м3,полив водой уплотняемого грунта,94,водой водолазами грунта разработка подбивка, полин водой уплотняемого грунта
Разработка траншеи под трубопровод Д 108-168,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок, Разработка траншеи под трубопровод я 108-168
Монтаж сборного полимерного трубопровода внутренних ИС Д мм 57-89,м,монтаж сборного полимерного трубопровода внутренних ис д мм,66,сборного полимерного трубопровода ис монтаж, Монтаж сборного полимерного трубопровода внутренних и я мы 57-89
Рыхление скальных грунтов под водой методом БВР,м3,рыхление скальных грунтов водой методом бвр,93,грунтов скальных рыхление водой сваями, Рыхление скальных грунтов под водой методом бар
Монтаж стеновых панелей,шт,монтаж стеновых панелей,105,панелей стеновых ограждения железобетонных демонтаж, Монтаж стеновых панелей
Сварка ТТ Д 377-630,стык,сварка тт д,69,тт сварка эхз конструкции коробов, свалка ты я 377-630
Пескоструйная очистка поверхности,м2,пескоструйная очистка поверхности,178,поверхности лакокрасочным покрытием акз очистка, Пескоструйная очистка поверхности
Демонтаж стоянки техники и автотранспорта,шт,демонтаж стоянки техники автотранспорта,163,стоянки автотранспорта техники устройство демонтаж, Демонтаж стоянка техники и автотранспорта
Демонтаж КПП (шлагбаум),шт,демонтаж кпп шлагбаум,158,кпп шлагбаум устройство демонтаж эхз, Демонтаж коп (шлагбаум)
Демонтаж производственного ВЗиС (склад),шт,демонтаж производственного взис склад,162,производственного склад взис устройство демонтаж, Демонтаж производственного ВЗиС (склад)
Расчистка от лесорастительности при строительстве трубопроводов Д мм 720-1020,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм, Расчистка от лесорастительности при строительство трубопроводов я мы 720-1020
Устройство термометрических и гидрогеологических скважин,м3,устройство термометрических гидрогеологических скважин,141,термометрических гидрогеологических скважин устройство колодцев, Устройство термометрических и гидрогеологических скважин
Пневматическое испытание трубопроводов Д мм 720-1020,км,пневматическое испытание трубопроводов д мм,5,пневматическое испытание трубопроводов мм конструкций, Пневматическое испытание трубопроводов я мы 720-1020
Демонтаж одиночных протекторов,шт,демонтаж одиночных протекторов,217,протекторов одиночных установка демонтаж монтаж, Демонтаж одиночный протекторов
Прокладка кабеля слаботочной сети по эстакадам (массой 1 м до 3 кг),м,прокладка кабеля слаботочной сети эстакадам массой м кг,60,слаботочной эстакадам сети кг кабеля, Прокладка кабель слаботочной сети по эстакадам (массой 1 я до 3 кг)
Демонтаж изоляции ТУМ стыков трубопроводов Д 720-1020,стык,демонтаж изоляции тум стыков трубопроводов д,21,изоляции тум стыков демонтаж трубопроводов, Демонтаж изоляция там стыков трубопроводов я 720-1020
Демонтаж линейных трубопроводов Д мм 57-89,км,демонтаж линейных трубопроводов д мм,45,линейных демонтаж трубопроводов мм конструкции, Демонтаж линейных трубопроводов я мы 57-89
Осушка внутренней полости технологических трубопроводов Д мм <57,км,осушка внутренней полости технологических трубопроводов д мм,7,осушка внутренней полости технологических трубопроводов, Осушка внутренний полости технологических трубопроводов я мы <57
Сварка ТТ Д 57-89 на эстакадах высотой свыше 25 м,стык,сварка тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, свалка ты я 57-89 на эстакадах высотой свыше 25 я
Штробление каналов,м,штробление каналов,254,водоотлив лесовосстановление металлорукава посев обоями, Штробление каналов
Сварка ТТ Д 1220-1420 на эстакадах высотой свыше 25 м,стык,сварка тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, свалка ты я 1220-1420 на эстакадах высотой свыше 25 я
Балластировка трубопроводов устройствами типа ПКБУ-МК Д мм 377-630,шт,балластировка трубопроводов устройствами типа пкбумк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа ПКБУ-МК я мы 377-630
Устройство прямых врезок под давлением Д мм <57,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм, Устройство прямые врезок под давление я мы <57
Мульчирование,га,мульчирование,46,мульчирование строительстве трубопроводов мм колодцев, Мульчирование
Устройство основания из буроопускных металлических свай,м3,устройство основания буроопускных металлических свай,273,металлических свай основания устройство буроопускных, Устройство основания из буроопускных металлический свай
Пневматическое испытание трубопроводов инженерных сетей Д мм 377-630,км,пневматическое испытание трубопроводов инженерных сетей д мм,6,пневматическое инженерных испытание сетей трубопроводов, Пневматическое испытание трубопроводов инженерный детей я мы 377-630
Демонтаж трубопроводов наружных инженерных сетей Д мм 108-168,м,демонтаж трубопроводов наружных инженерных сетей д мм,281,инженерных наружных сетей демонтаж мм, Демонтаж трубопроводов наружных инженерный детей я мы 108-168
Термитная приварка и изоляция катодного вывода (кабеля),шт,термитная приварка изоляция катодного вывода кабеля,253,изоляция мастикой битумноуретановой вывода катодного, Термитная приварка и изоляция катодного выхода (кабеля)
Прокладка кабеля электрической сети в траншее (массой 1 м до 6 кг),м,прокладка кабеля электрической сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель электрический сети я траншее (массой 1 я до 6 кг)
Ручная сварка на трассе трубопроводов Д мм 219-325,стык,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм, Ручная свалка на трассе трубопроводов я мы 219-325
Установка муфт соединительных (кабель массой 1 м до 3 кг),шт,установка муфт соединительных кабель массой м кг,103,кабель муфт соединительных установка кг, Установка муфт соединительных кабель массой 1 я до 3 кг)
Контроль качества изоляционного покрытия трубопроводов Д мм <57,км,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы <57
Облицовка поверхностей ГКЛ,м2,облицовка поверхностей гкл,265,поверхностей окраска гкл внутренних облицовка, Облицовка поверхностей гол
Устройство водопропуска из круглой гладкостенной трубы,м,устройство водопропуска круглой гладкостенной трубы,139,водопропуска гладкостенной круглой трубы устройство, Устройство водопропуска из круглый гладкостенной трубы
"""	Разборка: кирпичных и мелкоблочных конструкций""",м3,разборка кирпичных мелкоблочных конструкций,127,кирпичных разборка мелкоблочных стен конструкций," "" Разборка: кирпичных и мелкоблочных конструкций"""
Вырезка стыков трубопроводов Д мм до 1220-1420,стык,вырезка стыков трубопроводов д мм,25,вырезка стыков трубопроводов мм коробок, Вырезка стыков трубопроводов я мы до 1220-1420
Балластировка трубопроводов устройствами типа ПТБК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа птбк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа ПТБК я мы 720-1020
Обратная засыпка траншеи под трубопровод Д 377-630,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной, Обратная засыпка траншеи под трубопровод я 377-630
Обратная засыпка траншеи под трубопровод Д 720-1020,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной, Обратная засыпка траншеи под трубопровод я 720-1020
Автоматическая сварка на трассе комплексами типа CRC-EVANS трубопроводов мм 1220-1420,км,автоматическая сварка трассе комплексами типа crcevans трубопроводов мм,30,комплексами автоматическая трассе типа сварка, Автоматическая свалка на трассе комплексами типа CRC-EVANS трубопроводов мы 1220-1420
Изоляция ТУМ стыков трубопроводов Д 57-89,км,изоляция тум стыков трубопроводов д,19,изоляция тум стыков трубопроводов эхз, Изоляция там стыков трубопроводов я 57-89
Расчистка от снега вручную,м3,расчистка снега вручную,47,снега расчистка механизированная вручную конструкций, Расчистка от снега вручную
Капиллярный контроль стыков трубопроводов Д мм <57,стык,капиллярный контроль стыков трубопроводов д мм,23,капиллярный контроль стыков трубопроводов мм, Капиллярный контроль стыков трубопроводов я мы <57
Прокладка кабеля электрической сети по эстакадам (массой 1 м до 18 кг),м,прокладка кабеля электрической сети эстакадам массой м кг,61,электрической эстакадам сети кг кабеля, Прокладка кабель электрический сети по эстакадам (массой 1 я до 18 кг)
Монтаж оборудования наружных ИС,шт,монтаж оборудования наружных ис,190,оборудования ис внутренних досборка монтаж, Монтаж оборудование наружных и
Строительство переходов методом Direct Pipe Д мм 720-1020,км,строительство переходов методом direct pipe д мм,32,pipe direct переходов строительство методом, Строительство переходов методом Direct Pipe я мы 720-1020
"""Контроль за сваркой """"индикаторных"""" стыков""",компл,контроль сваркой индикаторных стыков,202,индикаторных сваркой контроль стыков проставки," контроль за сваркой """"индикаторных"""" стыков"""
Вырезка гнутых отводов трубопроводов Д мм 720-1020,шт,вырезка гнутых отводов трубопроводов д мм,40,вырезка гнутых отводов трубопроводов мм, Вырезка гнутых отводов трубопроводов я мы 720-1020
Строительство переходов открытым способом Д мм 720-1020,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм, Строительство переходов открытым способом я мы 720-1020
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 18 кг)",м,прокладка кабеля электрической сети конструкциям трубах блоках коробах массой м кг,56,коробах конструкциям блоках трубах сети," Прокладка кабель электрический сети по конструкциям, я трубах, блоках и коробах (массой 1 я до 18 кг)"
