task_id,task_name,measurement,processed_task_name,cluster,general_name
41,Уплотнение грунта виброплитами,м3,уплотнение грунта виброплитами,254,водоотлив лесовосстановление металлорукава посев обоями
42,Обратная засыпка грунта,м3,обратная засыпка грунта,269,обратная засыпка грунта бульдозером экскаватором
43,Обратная засыпка грунта вручную (с уплотнением),м3,обратная засыпка грунта вручную уплотнением,269,обратная засыпка грунта бульдозером экскаватором
44,Обратная засыпка грунта бульдозером,м3,обратная засыпка грунта бульдозером,269,обратная засыпка грунта бульдозером экскаватором
45,Обратная засыпка скального грунта бульдозером,м3,обратная засыпка скального грунта бульдозером,269,обратная засыпка грунта бульдозером экскаватором
46,Обратная засыпка грунта экскаватором,м3,обратная засыпка грунта экскаватором,269,обратная засыпка грунта бульдозером экскаватором
47,Обратная засыпка скального грунта экскаватором,м3,обратная засыпка скального грунта экскаватором,269,обратная засыпка грунта бульдозером экскаватором
48,Устройство глиняных перемычек с уплотнением,м3,устройство глиняных перемычек уплотнением,208,перемычек глиняных уплотнением демонтаж монтаж
49,Устройство основания под трубопровод Д <57,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
50,Устройство основания под трубопровод Д 57-89,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
51,Устройство основания под трубопровод Д 108-168,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
52,Устройство основания под трубопровод Д 219-325,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
53,Устройство основания под трубопровод Д 377-630,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
54,Устройство основания под трубопровод Д 720-1020,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
55,Устройство основания под трубопровод Д 1220-1420,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций
56,Присыпка трубопровода Д <57 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
57,Присыпка трубопровода Д 57-89 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
58,Присыпка трубопровода Д 108-168 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
59,Присыпка трубопровода Д 219-325 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
60,Присыпка трубопровода Д 377-630 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
61,Присыпка трубопровода Д 720-1020 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
62,Присыпка трубопровода Д 1220-1420 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям
63,Обратная засыпка траншеи под трубопровод Д <57,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
64,Обратная засыпка траншеи под трубопровод Д 57-89,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
65,Обратная засыпка траншеи под трубопровод Д 108-168,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
66,Обратная засыпка траншеи под трубопровод Д 219-325,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
67,Обратная засыпка траншеи под трубопровод Д 377-630,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
68,Обратная засыпка траншеи под трубопровод Д 720-1020,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
69,Обратная засыпка траншеи под трубопровод Д 1220-1420,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной
70,Обратная засыпка грунта экскаватором со сланей (на заболоченных и обводненных участках),м3,обратная засыпка грунта экскаватором сланей заболоченных обводненных участках,268,заболоченных участках обводненных сланей экскаватором
71,Планировка насыпи и откосов вручную,м2,планировка насыпи откосов вручную,259,насыпи планировка откосов механизированная устройство
72,Планировка насыпи и откосов механизированная,м2,планировка насыпи откосов механизированная,259,насыпи планировка откосов механизированная устройство
73,Устройство теплоизоляционного экрана,м3,устройство теплоизоляционного экрана,156,экрана теплоизоляционного устройство демонтаж эхз
74,Укладка рулонных геоматериалов (без заполнения),м2,укладка рулонных геоматериалов заполнения,205,заполнения геоматериалов рулонных укладка демонтаж
75,"Укладка геоматов, георешеток и геоматриц с заполнением",м2,укладка геоматов георешеток геоматриц заполнением,203,геоматриц геоматов георешеток заполнением укладка
76,"""Укладка матрацев """"Рено""""""",м2,укладка матрацев рено,206,рено матрацев укладка демонтаж эхз
77,Укрепление откосов каменной наброской,м2,укрепление откосов каменной наброской,260,укрепление откосов обочин трав щебнем
78,Укрепление откосов щебнем/песком (с применением георешеток),м2,укрепление откосов щебнемпеском применением георешеток,260,укрепление откосов обочин трав щебнем
79,Укрепление откосов и обочин посевом трав,м2,укрепление откосов обочин посевом трав,260,укрепление откосов обочин трав щебнем
80,Укрепление обочин щебнем,м2,укрепление обочин щебнем,260,укрепление откосов обочин трав щебнем
81,Укрепление откосов и обочин гидропосевом трав,м2,укрепление откосов обочин гидропосевом трав,260,укрепление откосов обочин трав щебнем
82,Укладка бетонных матов,м3,укладка бетонных матов,207,матов бетонных укладка демонтаж эхз
83,Устройство коробчатых габионов,м3,устройство коробчатых габионов,155,габионов коробчатых устройство демонтаж колонн
84,Укладка контейнеров противоэрозионных с заполнением,м3,укладка контейнеров противоэрозионных заполнением,204,противоэрозионных контейнеров заполнением укладка демонтаж
85,Устройство тросово-сетчатого ограждения,м2,устройство тросовосетчатого ограждения,108,ограждения калиток ворот монтаж перильного
86,Рыхление грунта шпуровыми зарядами,м3,рыхление грунта шпуровыми зарядами,92,рыхление грунта зарядами гидромолотом бульдозером
87,Рыхление грунта скважинными зарядами,м3,рыхление грунта скважинными зарядами,92,рыхление грунта зарядами гидромолотом бульдозером
88,Дробление негабарита шпуровыми зарядами,м3,дробление негабарита шпуровыми зарядами,244,негабарита дробление зарядами накладными шпуровыми
89,Дробление негабарита накладными зарядами,м3,дробление негабарита накладными зарядами,244,негабарита дробление зарядами накладными шпуровыми
90,Лидерное шнековое бурение скважин (под ВЗС),шт,лидерное шнековое бурение скважин взс,142,бурение скважин роторное лидерное шнековое
91,Роторное бурение скважин,шт,роторное бурение скважин,142,бурение скважин роторное лидерное шнековое
92,Лидерное шнековое бурение скважин (под ГАЗ),м3,лидерное шнековое бурение скважин газ,142,бурение скважин роторное лидерное шнековое
93,Роторное бурение скважин,м3,роторное бурение скважин,142,бурение скважин роторное лидерное шнековое
94,Устройство основания из забивных железобетонных свай,шт,устройство основания забивных железобетонных свай,274,свай железобетонных основания устройство буронабивных
95,Устройство основания из бурозабивных металлических свай,шт,устройство основания бурозабивных металлических свай,273,металлических свай основания устройство буроопускных
96,Устройство основания из буроопускных металлических свай,шт,устройство основания буроопускных металлических свай,273,металлических свай основания устройство буроопускных
97,Устройство основания из винтовых металлических свай,шт,устройство основания винтовых металлических свай,273,металлических свай основания устройство буроопускных
98,Устройство основания из железобетонных буронабивных свай,шт,устройство основания железобетонных буронабивных свай,274,свай железобетонных основания устройство буронабивных
99,Устройство основания из забивных железобетонных свай,м3,устройство основания забивных железобетонных свай,274,свай железобетонных основания устройство буронабивных
100,Устройство основания из бурозабивных металлических свай,м3,устройство основания бурозабивных металлических свай,273,металлических свай основания устройство буроопускных
101,Устройство основания из буроопускных металлических свай,м3,устройство основания буроопускных металлических свай,273,металлических свай основания устройство буроопускных
102,Устройство основания из винтовых металлических свай,м3,устройство основания винтовых металлических свай,273,металлических свай основания устройство буроопускных
103,Устройство основания из железобетонных буронабивных свай,м3,устройство основания железобетонных буронабивных свай,274,свай железобетонных основания устройство буронабивных
104,Изготовление армокаркаса свай,шт,изготовление армокаркаса свай,272,изготовление свай армокаркаса оголовков металлических
105,Изготовление армокаркаса свай,т,изготовление армокаркаса свай,272,изготовление свай армокаркаса оголовков металлических
106,Статическое испытание грунтов сваями,шт,статическое испытание грунтов сваями,93,грунтов скальных рыхление водой сваями
107,Погружение вертикальных ТСГ,шт,погружение вертикальных тсг,191,тсг горизонтальных погружение вертикальных охлаждающих
108,Монтаж оборудования горизонтальных ТСГ,шт,монтаж оборудования горизонтальных тсг,191,тсг горизонтальных погружение вертикальных охлаждающих
109,Монтаж охлаждающих труб горизонтальных ТСГ,м,монтаж охлаждающих труб горизонтальных тсг,191,тсг горизонтальных погружение вертикальных охлаждающих
110,Устройство термометрических и гидрогеологических скважин,шт,устройство термометрических гидрогеологических скважин,141,термометрических гидрогеологических скважин устройство колодцев
111,Устройство глубинных реперов,шт,устройство глубинных реперов,152,реперов глубинных устройство эхз конструкций
112,Устройство термометрических и гидрогеологических скважин,м3,устройство термометрических гидрогеологических скважин,141,термометрических гидрогеологических скважин устройство колодцев
113,Устройство глубинных реперов,м3,устройство глубинных реперов,152,реперов глубинных устройство эхз конструкций
114,Устройство шпунтовой стенки,т,устройство шпунтовой стенки,157,шпунтовой стенки устройство демонтаж коробов
115,Демонтаж шпунтовой стенки,т,демонтаж шпунтовой стенки,157,шпунтовой стенки устройство демонтаж коробов
116,Приготовление растворов и смесей на РБУ,м3,приготовление растворов смесей рбу,254,водоотлив лесовосстановление металлорукава посев обоями
117,Армирование монолитных железобетонных конструкций,т,армирование монолитных железобетонных конструкций,261,армирование монолитных участков бетона конструкций
118,Устройство бетонной подготовки,м3,устройство бетонной подготовки,154,устройство газонов стяжки отмостки бетонной
119,Бетонирование фундаментов под оборудование,м3,бетонирование фундаментов оборудование,262,бетонирование фундаментов перекрытия полов оборудование
120,Бетонирование фундаментов общего назначения,м3,бетонирование фундаментов общего назначения,262,бетонирование фундаментов перекрытия полов оборудование
121,"Бетонирование фундаментов-столбов, фундаментов под колонны",м3,бетонирование фундаментовстолбов фундаментов колонны,262,бетонирование фундаментов перекрытия полов оборудование
122,"Бетонирование колонн (балок, поясов, перемычек и ригелей)",м3,бетонирование колонн балок поясов перемычек ригелей,210,колонн поясов балок ригелей перемычек
123,Бетонирование перекрытия,м3,бетонирование перекрытия,262,бетонирование фундаментов перекрытия полов оборудование
124,Бетонирование стен и перегородок,м3,бетонирование стен перегородок,263,перегородок гкл разборка бетонирование стен
125,Бетонирование отдельных конструкций в мелкощитовой опалубке,м3,бетонирование отдельных конструкций мелкощитовой опалубке,262,бетонирование фундаментов перекрытия полов оборудование
126,Монтаж закладных деталей и анкерных болтов,т,монтаж закладных деталей анкерных болтов,246,деталей закладных анкеров подливка анкерных
127,Подливка закладных деталей и анкеров,м3,подливка закладных деталей анкеров,246,деталей закладных анкеров подливка анкерных
128,Изготовление опалубки деревянной,м2,изготовление опалубки деревянной,233,опалубки инвентарной мелкощитовой деревянной монтаж
129,Монтаж мелкощитовой опалубки,м2,монтаж мелкощитовой опалубки,233,опалубки инвентарной мелкощитовой деревянной монтаж
130,Монтаж инвентарной опалубки,м2,монтаж инвентарной опалубки,233,опалубки инвентарной мелкощитовой деревянной монтаж
131,Монтаж временных укрытий,м2,монтаж временных укрытий,247,укрытий временных ангаре гт монтаж
132,Монтаж фундаментных стаканов под колонны и опоры,шт,монтаж фундаментных стаканов колонны опоры,237,стаканов колонны опоры фундаментных демонтаж
133,"Монтаж фундаментных, стеновых блоков и плит",шт,монтаж фундаментных стеновых блоков плит,167,фундаментных стеновых плит блоков демонтаж
134,Монтаж перемычек,шт,монтаж перемычек,208,перемычек глиняных уплотнением демонтаж монтаж
135,Монтаж колонн,шт,монтаж колонн,210,колонн поясов балок ригелей перемычек
136,Монтаж ригелей,шт,монтаж ригелей,209,ригелей демонтаж монтаж эхз конструкции
137,Монтаж стеновых панелей,шт,монтаж стеновых панелей,105,панелей стеновых ограждения железобетонных демонтаж
138,Монтаж плит перекрытий,шт,монтаж плит перекрытий,168,плит перекрытий пдн демонтаж железобетонных
139,Монтаж железобетонных опор ВЛ/КЛС,шт,монтаж железобетонных опор влклс,112,влклс опор деревянных железобетонных отдельно
140,Монтаж ограждения из железобетонных панелей,шт,монтаж ограждения железобетонных панелей,105,панелей стеновых ограждения железобетонных демонтаж
141,Установка деревянных опор ВЛ/КЛС,шт,установка деревянных опор влклс,112,влклс опор деревянных железобетонных отдельно
142,Кладка стен из кирпича,м3,кладка стен кирпича,126,кладка кирпича стен пеноблоков пазогребневых
143,Кладка перегородок из кирпича,м3,кладка перегородок кирпича,126,кладка кирпича стен пеноблоков пазогребневых
144,Кладка конструкций из кирпича,м3,кладка конструкций кирпича,126,кладка кирпича стен пеноблоков пазогребневых
145,Кладка стен из пеноблоков,м3,кладка стен пеноблоков,126,кладка кирпича стен пеноблоков пазогребневых
146,Кладка стен из пазогребневых плит,м3,кладка стен пазогребневых плит,126,кладка кирпича стен пеноблоков пазогребневых
147,Изготовление металлических свай,т,изготовление металлических свай,272,изготовление свай армокаркаса оголовков металлических
148,Изготовление металлических свай,шт,изготовление металлических свай,272,изготовление свай армокаркаса оголовков металлических
149,Изготовление и монтаж оголовков свай,т,изготовление монтаж оголовков свай,272,изготовление свай армокаркаса оголовков металлических
150,Изготовление и монтаж оголовков свай,шт,изготовление монтаж оголовков свай,272,изготовление свай армокаркаса оголовков металлических
151,Монтаж м/к фундаментов и ростверков,т,монтаж мк фундаментов ростверков,134,мк ростверков фундаментов изготовление конструктивных
152,Обварка м/к фундаментов и ростверков после их монтажа,т,обварка мк фундаментов ростверков монтажа,134,мк ростверков фундаментов изготовление конструктивных
153,Монтаж м/к каркасов зданий и сооружений,т,монтаж мк каркасов зданий сооружений,130,сооружений зданий мк каркасов строений
154,Обварка м/к каркасов зданий и сооружений после их монтажа,т,обварка мк каркасов зданий сооружений монтажа,130,сооружений зданий мк каркасов строений
155,Монтаж подкрановых балок,т,монтаж подкрановых балок,255,подкрановых путей балок монтаж подвесных
156,Монтаж подкрановых путей,т,монтаж подкрановых путей,255,подкрановых путей балок монтаж подвесных
157,Монтаж подвесных путей и монорельсов для тельферов,т,монтаж подвесных путей монорельсов тельферов,255,подкрановых путей балок монтаж подвесных
158,Монтаж м/к эстакад,т,монтаж мк эстакад,133,эстакад мк четырехвосьмиярусных обварка высотой
159,Монтаж м/к эстакад четырех-восьмиярусных высотой свыше 25 м,т,монтаж мк эстакад четырехвосьмиярусных высотой свыше м,133,эстакад мк четырехвосьмиярусных обварка высотой
160,Обварка м/к эстакад после их монтажа,т,обварка мк эстакад монтажа,133,эстакад мк четырехвосьмиярусных обварка высотой
161,Обварка м/к эстакад четырех-восьмиярусных высотой свыше 25 м,т,обварка мк эстакад четырехвосьмиярусных высотой свыше м,133,эстакад мк четырехвосьмиярусных обварка высотой
162,"Монтаж площадок обслуживания, переходных мостиков, ограждений подполья, перил",т,монтаж площадок обслуживания переходных мостиков ограждений подполья перил,98,площадок обслуживания гпа монтаж этап
163,Монтаж опорных конструкций для крепления трубопроводов,т,монтаж опорных конструкций крепления трубопроводов,234,опорных частей мостов крепления конструкций
164,Монтаж малых конструктивных элементов м/к,т,монтаж малых конструктивных элементов мк,134,мк ростверков фундаментов изготовление конструктивных
165,Монтаж деформационных марок,шт,монтаж деформационных марок,256,металлоконструкций деформационных марок монтаж швов
166,Монтаж резервуаров стальных вертикальных цилиндрических,шт,монтаж резервуаров стальных вертикальных цилиндрических,192,цилиндрических вертикальных резервуаров стальных монтаж
167,Монтаж резервуаров стальных вертикальных цилиндрических,т,монтаж резервуаров стальных вертикальных цилиндрических,192,цилиндрических вертикальных резервуаров стальных монтаж
168,"Монтаж м/к мачт-молниеотводов, прожекторных мачт",шт,монтаж мк мачтмолниеотводов прожекторных мачт,131,мачтмолниеотводов прожекторных мачт мк монтаж
169,"Монтаж м/к мачт-молниеотводов, прожекторных мачт",т,монтаж мк мачтмолниеотводов прожекторных мачт,131,мачтмолниеотводов прожекторных мачт мк монтаж
170,Монтаж м/к антенных и мачт РРС,шт,монтаж мк антенных мачт ррс,132,антенных ррс мачт мк монтаж
171,Монтаж м/к антенных и мачт РРС,т,монтаж мк антенных мачт ррс,132,антенных ррс мачт мк монтаж
172,Установка отдельно стоящих металлических опор ВЛ/КЛС,шт,установка отдельно стоящих металлических опор влклс,112,влклс опор деревянных железобетонных отдельно
173,Установка стальных опор ВЛ 35 - 500 кВ,шт,установка стальных опор вл кв,111,вл кв проводов стальных нитки
174,Монтаж ограждающих конструкций стен (сэндвич-панели),м2,монтаж ограждающих конструкций стен сэндвичпанели,128,конструкций стен ограждающих цоколя сэндвичпанели
175,Монтаж ограждающих конструкций стен (профлист),м2,монтаж ограждающих конструкций стен профлист,128,конструкций стен ограждающих цоколя сэндвичпанели
176,Монтаж оконных блоков,м2,монтаж оконных блоков,169,блоков оконных сау монтаж бэт
177,Установка металлических дверных блоков (наружных),м2,установка металлических дверных блоков наружных,170,дверных блоков металлических наружных установка
178,Установка ворот в зданиях и сооружениях,шт,установка ворот зданиях сооружениях,212,зданиях сооружениях ворот установка демонтаж
