task_id;task_name;measurement;subtasks
20;Разработка скального грунта бульдозером;м3;"Состав работ:
01. Разработка грунта с перемещением до 20 м."
21;Разработка грунта экскаватором;м3;"Состав работ:
01. Разработка грунта навымет.
02. Вспомогательные работы, связанные с перемещением экскаватора из забоя в забой.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 40%;
- 3-4 гр. - 60%."
22;Разработка скального грунта экскаватором;м3;"Состав работ:
01. Сгребание разрыхленного грунтов экскаватором с ковшом ""обратная лопата"" навылет (разработка скального предварительного разрыхленного грунта экскаватором).
СЛЕДУЮЩИЕ ОПЕРАЦИИ ПРИ НЕОБХОДИМОСТИ
02. Послойное рыхление грунтов экскаватором с гидромолотом.
03. Смена оборудования экскаватора гидромолота на ковш ""обратная лопата"" (и обратно)."
23;Разработка с погрузкой грунта в карьере;м3;"Состав работ:
01. Разработка грунта экскаваторами с погрузкой на автомобили-самосвалы.
02. Устройство и содержание временных проездов в периметре карьера."
24;Разработка с погрузкой скального грунта в карьере;м3;"Состав работ:
01. Разработка скального грунта экскаваторами с погрузкой на автомобили-самосвалы.
02. Устройство и содержание временных проездов в периметре карьера."
25;Рыхление грунта (бульдозером);м3;"Состав работ:
01. Рыхление грунта 4-7 группы с регулированием глубины рыхления.
02. Холостой обратный ход агрегата.
УНИФИЦИРОВАНО ДЛЯ ВЕЧНОМЕРЗЛОГО И СКАЛЬНОГО ГРУНТА (2м-4м и 4-6 скального)."
26;Рыхление мерзлого грунта методом БВР (вращательное бурение);м3;"Состав работ:
01. Бурение шпуров (группы грунтов 4-6) глубиной более 1 м.
02. Подготовка взрывчатых веществ.
03. Зарядка и забойка.
04. Монтаж взрывной сети.
05. Взрывание."
27;Рыхление грунта (гидромолотом);м3;"Состав работ:
01. Рыхление скального грунта гидромолотом на базе экскаватора."
28;Рыхление грунта (вручную);м3;"Состав работ:
01. Разработка грунта вручную."
29;Разработка траншеи под трубопровод Д <57;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
30;Разработка траншеи под трубопровод Д 57-89;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
31;Разработка траншеи под трубопровод Д 108-168;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
32;Разработка траншеи под трубопровод Д 219-325;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
33;Разработка траншеи под трубопровод Д 377-630;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
34;Разработка траншеи под трубопровод Д 720-1020;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
35;Разработка траншеи под трубопровод Д 1220-1420;км;"Состав работ:
01. Рыхление и перемещение грунта бульдозером.
02. Разработка траншей одноковшовым экскаватором.
03. Частичная разработка траншей и приямков для сварки стыков-захлестов в траншеях вручную.
04. Уширение траншей для кривых вставок.
05. Водоотлив во время производства работ.
Группы грунтов приняты усредненно: 
- 1-2 гр. - 35%;
- 3-4 гр. - 55%;
- 5-6 гр. - 10%."
36;Разработка грунта экскаватором со сланей (на заболоченных и обводненных участках);м3;"Состав работ:
01. Укладка и переукладка сланей.
02. Обратная засыпка грунта с перемещением по сланям на заболоченных и обводненных участках."
37;Водоотлив;м3;"Состав работ:
01. Водоотлив из котлованов площадью до 30 м2, а также траншей шириной по дну до 2 м для ленточных фундаментов под здания и сооружения. Водоотлив для внутризаводских и дворовых (внутриквартальных) коммуникаций."
38;Устройство насыпи;м3;"Состав работ:
01. Устройство насыпи.
02. Уплотнение грунта.
03. Черновая планировка площади."
39;Устройство основания (песчаное, щебень, ПГС, ЦПС);м3;"Состав работ:
01. Насыпка песка/щебня/ПГС/ЦПС.
02. Разравнивание и трамбование основания."
40;Полив водой уплотняемого грунта;м3;"Состав работ:
01. Полив водой."
41;Уплотнение грунта виброплитами;м3;"Состав работ:
01. Уплотнение грунта полумеханизированным способом."
42;Обратная засыпка грунта;м3;"Состав работ:
01. Засыпка углублений, уплотнение грунта.
02. Планировка основной площадки полотна.
03. Засыпка ранее выброшенным грунтом с разбивкой комьев и трамбованием."
43;Обратная засыпка грунта вручную (с уплотнением);м3;"Состав работ:
01. Засыпка ранее выброшенным грунтом с разбивкой комьев и трамбованием.
02. Поливка водой при необходимости.
03. Уплотнение грунта."
44;Обратная засыпка грунта бульдозером;м3;"Состав работ:
01. Перемещение грунта до 20 м с засыпкой траншей и котлованов."
45;Обратная засыпка скального грунта бульдозером;м3;"Состав работ:
01. Перемещение предварительно разрыхленного скального грунта до 20 м с засыпкой траншей и котлованов."
46;Обратная засыпка грунта экскаватором;м3;"Состав работ:
01. Перемещение грунта бульдозером до 20 м.
02. Засыпка траншей и котлованов экскаватором с послойным уплотнением."
47;Обратная засыпка скального грунта экскаватором;м3;"Состав работ:
01. Перемещение грунта бульдозером до 20 м.
02. Засыпка траншей и котлованов экскаватором с послойным уплотнением."
48;Устройство глиняных перемычек с уплотнением;м3;"Состав работ:
01. Разравнивание грунта слоями.
02. Уплотнение грунта с увлажнением.
03. Разрыхление уплотненного нижележащего слоя глинистого грунта перед укладкой последующего.
04. Устройство и содержание въездов, съездов и проездов по насыпи.
05. Очистка кузовов транспортных средств при выгрузке глинистых грунтов."
49;Устройство основания под трубопровод Д <57;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
50;Устройство основания под трубопровод Д 57-89;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
51;Устройство основания под трубопровод Д 108-168;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
52;Устройство основания под трубопровод Д 219-325;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
53;Устройство основания под трубопровод Д 377-630;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
54;Устройство основания под трубопровод Д 720-1020;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
55;Устройство основания под трубопровод Д 1220-1420;км;"Состав работ:
01. Планировка дна траншеи.
02. Укладка материала с разравниванием и уплотнением."
56;Присыпка трубопровода Д <57 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
57;Присыпка трубопровода Д 57-89 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
58;Присыпка трубопровода Д 108-168 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
59;Присыпка трубопровода Д 219-325 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
60;Присыпка трубопровода Д 377-630 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
61;Присыпка трубопровода Д 720-1020 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
62;Присыпка трубопровода Д 1220-1420 привозным грунтом;км;"Состав работ:
01. Перемещение грунта с присыпкой трубопровода привозным грунтом."
63;Обратная засыпка траншеи под трубопровод Д <57;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
64;Обратная засыпка траншеи под трубопровод Д 57-89;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
65;Обратная засыпка траншеи под трубопровод Д 108-168;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
66;Обратная засыпка траншеи под трубопровод Д 219-325;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
67;Обратная засыпка траншеи под трубопровод Д 377-630;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
68;Обратная засыпка траншеи под трубопровод Д 720-1020;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
69;Обратная засыпка траншеи под трубопровод Д 1220-1420;км;"Состав работ:
01. Перемещение грунта с засыпкой траншеи.
02. Планировка валика над траншеей."
70;Обратная засыпка грунта экскаватором со сланей (на заболоченных и обводненных участках);м3;"Состав работ:
01. Укладка и переукладка сланей.
02. Обратная засыпка грунта с перемещением по сланям на заболоченных и обводненных участках."
71;Планировка насыпи и откосов вручную;м2;"Состав работ:
01. Планировка поверхности со срезкой неровностей.
02. Засыпка углублений, уплотнение грунта, зачистка поверхности и проверка шаблоном.
03. Планировка основной площадки полотна.
04. Устройство сливной призмы и зачистка неровностей.
05. Планировка откосов срезкой.
06. Разравнивание грунта и планировка естественной бермы."
72;Планировка насыпи и откосов механизированная;м2;"Состав работ для насыпи:
01. Планировка поверхности со срезкой неровностей.
02. Засыпка углублений, уплотнение грунта, зачистка поверхности и проверка шаблоном.
03. Планировка основной площадки полотна.
04. Устройство сливной призмы и зачистка неровностей.
Состав работ для откосов:
01. Планировка откосов срезкой.
02. Разравнивание грунта и планировка естественной бермы."
73;Устройство теплоизоляционного экрана;м3;"Состав работ:
01. Укладка блоков из пенопласта вручную с закреплением стальными стержнями."
74;Укладка рулонных геоматериалов (без заполнения);м2;"Состав работ:
01. Планировка земляного полотна с уплотнением.
02. Раскладка рулонов геоматериалов.
03. Закрепление полотен геоматериалов анкерами с последующей разборкой крепления.
04. Соединение полотен геоматериалов."
75;Укладка геоматов, георешеток и геоматриц с заполнением;м2;"Состав работ:
01. Укладка георешетки.
02. Отсыпка защитного слоя из щебня/ПГС/песка по георешетке.
03. Разравнивание неуплотненного щебня/ПГС/песка бульдозером.
04. Планировка щебня/ПГС/песка за один проход по одному следу.
05. Уплотнение щебня/ПГС/песка катками."
76;"Укладка матрацев ""Рено""";м2;"Состав работ:
01. Погрузка, перевозка и выгрузка материалов.
02. Планировка, выравнивание и трамбование поверхности.
03. Устройство основания под матрацы из песчано-гравийной смеси с послойным трамбованием.
04. Устройство подмостей.
05. Резка арматуры для анкеров.
06. Сортировка гранитного щебня и подбор камня по размеру и толщине для выкладки верхней части матрацов.
07. Установка матрацов.
08. Устройство фильтра из геотекстиля.
09. Засыпка пазух песчано-гравийной смесью."
77;Укрепление откосов каменной наброской;м2;"Состав работ:
01. Устройство каменной наброски высотой до 0,5 м с выкладкой поверхности камнем."
78;Укрепление откосов щебнем/песком (с применением георешеток);м2;"Состав работ:
01. Обозначение проектного положения геоячеек.
02. Укладка модулей геоячеек с креплением стальными анкерами к поверхности откоса.
03. Соединение модулей геоячеек между собой способом крепления ребер геоячеек металлическими скрепками с помощью
степлера.
04. Укладка в геоячейки щебня/песка с разравниванием и уплотнением трамбовками.
ПРИМЕНИТЕЛЬНО В ТОМ ЧИСЛЕ ДЛЯ ОЩЕБЕНЕНИЯ ТЕРРИТОРИЙ (БЛАГОУСТРОЙСТВО)"
79;Укрепление откосов и обочин посевом трав;м2;"Состав работ:
01. Исправление откоса и нарезка борозд.
02. Подсыпка/внесение и распределение растительной земли/удобрений.
03. Посев трав вручную.
04. Пробег поливочной машины к месту наполнения водой на расстояние до 10 км.
05. Наполнение цистерны водой.
06. Полив через распылительные сопла или при помощи шланга."
80;Укрепление обочин щебнем;м2;"Состав работ:
01. Планировка и прикатка обочин. 
02. Распределение материалов и его разравнивание. 
03. Уплотнение катками с поливкой водой. 
04. Уплотнение катками (толщина 10 см)."
81;Укрепление откосов и обочин гидропосевом трав;м2;"Состав работ:
01. Исправление откоса.
02. Заправка агрегата водой, семенами, удобрениями, мульчирующими и пленкообразующими материалами.
03. Гидропосев семян по откосам и обочинам с повторной обработкой в отдельных местах.
04. Пробег поливочной машины к месту наполнения водой на расстояние до 10 км.
05. Наполнение цистерны водой.
06. Полив через распылительные сопла или при помощи шланга."
82;Укладка бетонных матов;м3;"Состав работ:
01. Устройство обратного фильтра из геотекстильного материала.
02. Укладка плит на ранее уложенное геотекстильное полотно.
03. Сборка плит в единое покрытие.
04. Устройство верхнего якоря для закрепления полотна из плит на откосе."
83;Устройство коробчатых габионов;м3;"Состав работ:
01. Погрузка, перевозка и выгрузка материалов.
02. Планировка, выравнивание и трамбование поверхности. 
03. Устройство основания под габионы из песчано-гравийной смеси с послойным трамбованием.
04. Изготовление цилиндрических габионов.
05. Устройство фильтра из геотекстиля.
06. Устройство оснований из цилиндрических габионов автопогрузчиком.
07. Засыпка пазух песчано-гравийной смесью.
08. Защита каменной наброской стыков поверхности и габионных конструкций."
84;Укладка контейнеров противоэрозионных с заполнением;м3;"Состав работ:
01. Погрузка на складе и разгрузка на строительной площадке материалов.
02. Заполнение контейнеров грунтом при помощи экскаватора.
03. Перемещение и складирование противоэрозионных контейнеров.
04. Погрузка заполненных контейнеров на автотранспортное средство.
05. Монтаж КП-Р."
85;Устройство тросово-сетчатого ограждения;м2;"Состав работ:
01. Осмотр состояния склона.
02. Установка анкеров.
03. Прокладка, устройство и крепление стального троса к анкерам.
04. Раскладка и крепление первого слоя сетки к тросу при помощи зажимов.
05. Раскладка и крепление второго слоя из сетки к тросу при помощи зажимов.
06. Сшивание стыков сеток внахлест вязальной проволокой."
86;Рыхление грунта шпуровыми зарядами;м3;"Состав работ:
01. Бурение шпуров.
02. Подготовка взрывчатых материалов.
03. Зарядка и забойка.
04. Монтаж взрывной сети.
05. Взрывание."
87;Рыхление грунта скважинными зарядами;м3;"Состав работ:
01. Бурение скважин.
02. Подготовка взрывчатых веществ.
03. Зарядка и забойка.
04. Монтаж взрывной сети.
05. Взрывание.
06. Зачистка откосов и дна выемки."
88;Дробление негабарита шпуровыми зарядами;м3;"Состав работ:
01. Бурение.
02. Подготовка взрывчатых материалов.
03. Зарядка и забойка.
04. Монтаж взрывной сети.
05. Взрывание."
89;Дробление негабарита накладными зарядами;м3;"Состав работ:
01. Подкопка места взрыва.
02. Подготовка взрывчатых материалов.
03. Зарядка и забойка.
04. Взрывание."
90;Лидерное шнековое бурение скважин (под ВЗС);шт;"Состав работ:
01. Установка станка над местом бурения с приведением в рабочее положение.
02. Установка первого шнека.
03. Бурение скважин с взятием проб и очисткой устья от выбуренного грунта.
04. Последовательное наращивание шнека.
05. Подъем шнеков с отсоединением.
06. Перемещение станка по ходу работы с приведением его в транспортное положение.
07. Ведение документации и обслуживание внутрипостроечного транспорта."
91;Роторное бурение скважин;шт;"Состав работ:
01. Бурение скважин с прямой промывкой.
02. Наращивание бурильных труб.
03. Спуск и подъем бурового снаряда.
04. Смена породоразрушающего инструмента (долота, коронки).
05. Подготовительно-заключительные работы, связанные с подъемом и спуском бурового снаряда.
06. Приготовление глинистого раствора для забурки скважин и в процессе бурения.
07. Чистка желобов и отстойников циркуляционной системы.
08. Контроль за параметрами глинистого раствора.
09. Оформление документации, отбор шлама и другие работы, способствующие нормальному бурению скважин.
10. Обслуживание бурового оборудования и внутрипостроечного транспорта."
92;Лидерное шнековое бурение скважин (под ГАЗ);м3;"Состав работ:
01. Установка станка над местом бурения с приведением в рабочее положение.
02. Установка первого шнека.
03. Бурение скважин с взятием проб и очисткой устья от выбуренного грунта.
04. Последовательное наращивание шнека.
05. Подъем шнеков с отсоединением.
06. Перемещение станка по ходу работы с приведением его в транспортное положение.
07. Ведение документации и обслуживание внутрипостроечного транспорта.
ПРИМЕНЯТЬ ПРИ ГЛУБИНЕ СКВАЖИНЫ СВЫШЕ 100 МЕТРОВ И УЧИТЫВАТЬ ДОПОЛНИТЕЛЬНО К ВИКР 30474"
93;Роторное бурение скважин;м3;"Состав работ:
01. Бурение скважин с прямой промывкой.
02. Наращивание бурильных труб.
03. Спуск и подъем бурового снаряда.
04. Смена породоразрушающего инструмента (долота, коронки).
05. Подготовительно-заключительные работы, связанные с подъемом и спуском бурового снаряда.
06. Приготовление глинистого раствора для забурки скважин и в процессе бурения.
07. Чистка желобов и отстойников циркуляционной системы.
08. Контроль за параметрами глинистого раствора.
09. Оформление документации, отбор шлама и другие работы, способствующие нормальному бурению скважин.
10. Обслуживание бурового оборудования и внутрипостроечного транспорта."
94;Устройство основания из забивных железобетонных свай;шт;"Состав работ:
01. Перемещение буровой установки;
02. Разметка и подача сваи к месту погружения.
03. Опережающее бурение скважины с подъемом грунта;
04. Установка на сваю и снятие вибропогружателей и наголовника.
05. Погружение свай."
95;Устройство основания из бурозабивных металлических свай;шт;"Состав работ:
01. Подача свай к месту производства работ;
02. Установка сваи на место погружения в скважину (центрирование);
03. Бурение скважины методом роторного бурения/ методом шнекового бурения с одновременной очисткой шнека и устья скважины от отработанного грунта;
04. Устройство подушки из щебня в основании скважины;
05. Бетонирование скважины;
06. Планировка площадей;
07. Приведение сваебойной установки в рабочее положение;
08. Выверка вертикальности сваи;
09. Погружение сваи до проектных отметок;
10. Заполнение внутренней полости свай бетоном;
11. Заполнение затрубного пространства сухим непучинистым грунтом;
12. Перемещение к месту погружения следующей сваи."
96;Устройство основания из буроопускных металлических свай;шт;"Состав работ:
01. Погрузо-разгрузочные работы и перевозка материалов на расстояние 1 км;
02. Установка буровой машины на скважину;
03. Установка обсадной трубы;
04. Бурение скважины методом роторного бурения/ методом шнекового бурения с одновременной очисткой шнека и устья скважины от отработанного грунта;
05. Устройство подушки из щебня в основании скважины;
06. Перемещение выбранного грунта погрузчиком в автосамосвал;
07. Заполнение затрубного пространства цементно-песчаным раствором М 150;
08. Установка металлической сваи в скважину при помощи буровой установки;
09. Установка металлических центраторов с последующим демонтажем;
10. Заполнение внутренней полости свай песчаным грунтом."
97;Устройство основания из винтовых металлических свай;шт;"Состав работ:
01. погрузка на складе и выгрузка на строительной площадке свай и инструмента; 
02. перевозка свай и инструмента на расстояние 1 км; 
03. перемещение материалов к месту проведения работ; 
04. бурение лидерных скважин под сваи;
05. укрытие устья лидерных скважин с откидыванием шлама от скважины;
06. погрузка шлама в автомобили-самосвалы;
07. завинчивание винтовых свай;
08. заполнение бетоном полости свай."
